"uid","gender","datejoin","college","paygrade","basesalary","commission","left"
"10001","1","2016-01-03","FALSE","A","1000","0.3","FALSE"
"10002","1","2016-01-28","FALSE","C","600","0.5","FALSE"
"10003","1","2016-03-28","FALSE","C","600","0.5","FALSE"
"10004","1","2016-05-10","FALSE","C","600","0.5","TRUE"
"10005","0","2016-05-12","FALSE","B","800","0.4","FALSE"
"10006","0","2016-08-10","FALSE","B","800","0.4","FALSE"
"10007","0","2016-08-16","TRUE","A","1000","0.3","FALSE"
"10008","1","2016-08-17","FALSE","C","600","0.5","FALSE"
"10009","0","2016-09-11","FALSE","B","800","0.4","FALSE"
"10010","0","2016-10-18","FALSE","C","600","0.5","TRUE"
"10011","1","2016-11-19","FALSE","A","1000","0.3","FALSE"
"10012","0","2016-12-05","FALSE","A","1000","0.3","FALSE"
"10013","0","2017-01-04","TRUE","A","1000","0.3","FALSE"
"10014","1","2017-01-23","FALSE","A","1000","0.3","FALSE"
"10015","1","2017-02-03","FALSE","B","800","0.4","FALSE"
"10016","1","2017-03-07","FALSE","C","600","0.5","FALSE"
"10017","1","2017-05-02","FALSE","A","1000","0.3","FALSE"
"10018","0","2017-06-01","FALSE","C","600","0.5","TRUE"
"10019","0","2017-07-13","FALSE","B","800","0.4","FALSE"
"10020","0","2017-09-06","TRUE","B","800","0.4","FALSE"
"10021","1","2017-09-18","FALSE","C","600","0.5","FALSE"
"10022","1","2017-11-09","FALSE","C","600","0.5","FALSE"
"10023","1","2017-11-18","FALSE","C","600","0.5","FALSE"
"10024","0","2017-11-22","FALSE","A","1000","0.3","FALSE"
"10025","1","2017-11-25","TRUE","B","800","0.4","FALSE"
"10026","0","2018-01-08","FALSE","B","800","0.4","FALSE"
"10027","0","2018-01-12","FALSE","B","800","0.4","FALSE"
"10028","1","2018-02-26","FALSE","A","1000","0.3","FALSE"
"10029","0","2018-03-03","TRUE","B","800","0.4","FALSE"
"10030","1","2018-03-06","TRUE","B","800","0.4","FALSE"
"10031","1","2018-05-06","FALSE","B","800","0.4","FALSE"
"10032","1","2018-06-14","FALSE","C","600","0.5","FALSE"
"10033","0","2018-06-14","TRUE","B","800","0.4","TRUE"
"10034","1","2018-06-15","FALSE","A","1000","0.3","FALSE"
"10035","1","2018-06-26","TRUE","C","600","0.5","FALSE"
"10036","0","2018-07-12","FALSE","B","800","0.4","FALSE"
"10037","1","2018-08-20","FALSE","A","1000","0.3","FALSE"
"10038","0","2018-09-15","FALSE","A","1000","0.3","FALSE"
"10039","1","2018-09-21","FALSE","C","600","0.5","FALSE"
"10040","0","2018-10-04","FALSE","A","1000","0.3","FALSE"
"10041","1","2018-10-25","FALSE","C","600","0.5","FALSE"
"10042","1","2018-11-22","TRUE","C","600","0.5","FALSE"
"10043","0","2018-12-12","FALSE","B","800","0.4","TRUE"
"10044","0","2019-01-05","FALSE","C","600","0.5","FALSE"
"10045","0","2019-01-20","TRUE","C","600","0.5","FALSE"
"10046","1","2019-03-10","TRUE","B","800","0.4","FALSE"
"10047","0","2019-04-14","TRUE","A","1000","0.3","FALSE"
"10048","0","2019-04-15","FALSE","A","1000","0.3","FALSE"
"10049","1","2019-04-22","FALSE","C","600","0.5","FALSE"
"10050","0","2019-06-14","FALSE","A","1000","0.3","FALSE"
"10051","0","2019-06-25","FALSE","A","1000","0.3","FALSE"
"10052","0","2019-08-10","FALSE","A","1000","0.3","FALSE"
"10053","0","2019-08-28","FALSE","B","800","0.4","FALSE"
"10054","0","2019-09-09","FALSE","A","1000","0.3","TRUE"
"10055","1","2019-09-15","TRUE","B","800","0.4","TRUE"
"10056","0","2019-10-10","FALSE","A","1000","0.3","FALSE"
"10057","0","2019-11-14","TRUE","C","600","0.5","FALSE"
"10058","1","2019-11-16","TRUE","A","1000","0.3","FALSE"
"10059","1","2019-12-01","FALSE","B","800","0.4","FALSE"
"10060","1","2020-01-15","FALSE","A","1000","0.3","FALSE"
"10061","0","2020-01-16","FALSE","B","800","0.4","FALSE"
"10062","0","2020-03-07","FALSE","C","600","0.5","TRUE"
"10063","0","2020-03-20","FALSE","C","600","0.5","FALSE"
"10064","0","2020-04-01","FALSE","C","600","0.5","FALSE"
"10065","1","2020-04-14","TRUE","C","600","0.5","FALSE"
"10066","1","2020-04-15","FALSE","B","800","0.4","FALSE"
"10067","0","2020-05-21","FALSE","B","800","0.4","FALSE"
"10068","1","2020-06-14","FALSE","B","800","0.4","FALSE"
"10069","0","2020-07-14","FALSE","B","800","0.4","FALSE"
"10070","0","2020-08-23","FALSE","A","1000","0.3","FALSE"
"10071","0","2020-09-25","FALSE","A","1000","0.3","FALSE"
"10072","1","2020-10-18","FALSE","A","1000","0.3","TRUE"
"10073","1","2020-12-11","FALSE","A","1000","0.3","FALSE"
"10074","0","2021-03-04","FALSE","B","800","0.4","FALSE"
"10075","1","2021-04-15","FALSE","C","600","0.5","FALSE"
"10076","1","2021-06-20","FALSE","C","600","0.5","TRUE"
"10077","1","2021-06-23","FALSE","C","600","0.5","FALSE"
"10078","1","2021-07-05","FALSE","B","800","0.4","FALSE"
"10079","1","2021-07-10","FALSE","C","600","0.5","FALSE"
"10080","1","2021-08-09","FALSE","C","600","0.5","FALSE"
"10081","0","2021-08-16","FALSE","B","800","0.4","FALSE"
"10082","1","2021-08-17","FALSE","B","800","0.4","FALSE"
"10083","1","2021-08-27","FALSE","B","800","0.4","FALSE"
"10084","1","2021-09-04","FALSE","B","800","0.4","TRUE"
"10085","0","2021-09-15","FALSE","B","800","0.4","FALSE"
"10086","1","2021-10-09","TRUE","C","600","0.5","FALSE"
"10087","0","2021-10-20","FALSE","C","600","0.5","FALSE"
"10088","0","2021-11-28","FALSE","B","800","0.4","FALSE"
"10089","0","2021-12-14","FALSE","A","1000","0.3","FALSE"
"10090","0","2022-01-22","FALSE","A","1000","0.3","TRUE"
"10091","1","2022-03-03","TRUE","C","600","0.5","FALSE"
"10092","1","2022-03-05","TRUE","C","600","0.5","TRUE"
"10093","0","2022-03-22","FALSE","A","1000","0.3","TRUE"
"10094","0","2022-05-14","TRUE","C","600","0.5","FALSE"
"10095","1","2022-05-19","FALSE","A","1000","0.3","FALSE"
"10096","0","2022-08-09","FALSE","B","800","0.4","FALSE"
"10097","1","2022-09-23","FALSE","C","600","0.5","FALSE"
"10098","1","2022-09-28","FALSE","A","1000","0.3","FALSE"
"10099","0","2022-11-11","FALSE","A","1000","0.3","FALSE"
"10100","1","2022-12-24","FALSE","B","800","0.4","FALSE"
